Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,
BOULDER CREEK,1,2,0.00%,50.00%,0:00:19,1,placename,placename,,placename,,,single
Boulder Creeks,1,1,0.00%,100.00%,0:00:09,0,placename|locational,placename,,placename,locational,,combined
BOULDER FIRE STATIONS,1,1,0.00%,0.00%,0:00:05,1,placename|locational,placename|locational,,placename,locational,,combined
boulder forest,1,2,100.00%,0.00%,0:00:13,1,placename|locational,placename|locational,,placename,locational,,combined
Boulder land use,1,1,0.00%,100.00%,0:00:21,3,placename|topical,placename|topical,,placename,topical,,combined
boulder land-use,1,5,0.00%,20.00%,0:01:53,6,placename|topical,placename|topical,,placename,topical,,combined
boulder lidar,1,1,0.00%,100.00%,0:00:03,0,placename|datatype,placename|topical,,placename,datatype,,combined
boulder roads,2,1,0.00%,50.00%,0:03:17,1,placename|locational,placename|locational,,placename,locational,,combined
boulder rock formation,1,1,0.00%,100.00%,0:00:08,0,placename|topical,placename|topical,,placename,topical,,combined
Boulder streams,1,2,0.00%,50.00%,0:00:54,1,placename|locational,placename|locational,,placename,locational,,combined
boulder topography,1,3,0.00%,66.67%,0:00:13,1,placename|datatype,placename|locational,,placename,datatype,,combined
"boulder, co",2,1,50.00%,50.00%,0:00:06,0.5,placename,placename,,placename,,,single
"Boulder, Colorado",1,5,0.00%,20.00%,0:09:58,2,placename,placename,,placename,,,single
buildings in boulder,1,1,0.00%,0.00%,0:00:49,1,placename|locational,placename|locational,,placename,locational,,combined
Chernobyl,1,1,0.00%,0.00%,0:51:22,19,placename,placename,,placename,,,single
china,3,1.67,0.00%,40.00%,0:01:06,2.67,placename,placename,,placename,,,single
coal creek,1,1,0.00%,100.00%,0:00:08,0,placename,placename,,placename,,,single
colorado,17,5.71,35.29%,1.03%,0:06:33,2.29,placename,placename,,placename,,,single
Colorado,3,3.33,0.00%,0.00%,0:05:30,3.67,placename,placename,,placename,,,single
COLORADO,1,7,0.00%,0.00%,0:01:12,6,placename,placename,,placename,,,single
colorado cities,1,1,0.00%,0.00%,0:00:02,1,placename|locational,locational,,placename,locational,,combined
Colorado cities,1,2,0.00%,100.00%,0:01:09,3,placename|locational,locational,,placename,locational,,combined
colorado counties,3,1.67,0.00%,60.00%,0:01:02,1,placename|locational,locational,,placename,locational,,combined
colorado county,1,3,100.00%,0.00%,0:00:24,2,placename|locational,locational,,placename,locational,,combined
colorado dams,1,1,0.00%,100.00%,0:00:06,0,placename|locational,locational,,placename,locational,,combined
colorado geologic map,1,1,0.00%,0.00%,0:00:06,1,placename|datatype,datatype,,placename,datatype,,combined
Colorado Geology,2,1,0.00%,0.00%,0:00:05,1,placename|topical,placename|topical,,placename,topical,,combined
colorado geology,1,1,0.00%,0.00%,0:00:03,1,placename|topical,placename|topical,,placename,topical,,combined
colorado houses,1,2,0.00%,50.00%,0:01:30,3,placename|locational,locational,,placename,locational,,combined
Colorado Hwy 285,1,1,0.00%,100.00%,0:02:12,3,placename,placename,,placename,,,single
Colorado land owndership,1,1,0.00%,100.00%,0:00:12,0,placename|topical,locational,,placename,topical,,combined
Colorado land types,1,3,0.00%,66.67%,0:09:08,2,placename|topical,topical,,placename,topical,,combined
Colorado land use type,1,1,0.00%,100.00%,0:00:13,0,placename|topical,topical,,placename,topical,,combined
Colorado major cities,1,2,0.00%,100.00%,0:14:59,2,placename|locational,locational,,placename,locational,,combined
colorado Mining Claims,1,1,0.00%,0.00%,0:04:01,2,placename|locational,locational,,placename,locational,,combined
colorado reservoir levels,1,2,0.00%,50.00%,0:00:19,1,placename|topical,topical,,placename,topical,,combined
colorado reservoirs,1,1,0.00%,100.00%,0:00:15,0,placename|locational,locational,,placename,locational,,combined
Colorado river,2,2.5,0.00%,40.00%,0:01:06,3,placename,placename,,placename,,,single
Colorado River basin,1,1,0.00%,100.00%,0:06:42,0,placename,placename,,placename,,,single
Colorado River reservoirs,1,1,0.00%,100.00%,0:00:11,0,placename|locational,locational,,placename,locational,,combined
Colorado River reservoirs levels,1,1,0.00%,100.00%,0:00:33,1,placename|topical,topical,,placename,topical,,combined
Colorado roads,1,2,0.00%,50.00%,0:01:50,5,placename|locational,locational,,placename,locational,,combined
colorado satelite,1,2,0.00%,100.00%,0:00:11,0,placename|datatype,topical,,placename,datatype,,combined
colorado satellite,1,1,0.00%,100.00%,0:00:09,0,placename|datatype,topical,,placename,datatype,,combined
Colorado secondary roads,1,1,0.00%,100.00%,0:00:05,0,placename|locational,locational,,placename,locational,,combined
colorado springs,1,1,0.00%,100.00%,0:00:11,1,placename,placename,,placename,,,single
colorado state,1,2,0.00%,50.00%,0:02:50,2,placename,placename,,placename,,,single
Colorado stream access,1,1,0.00%,100.00%,0:00:07,0,placename|locational,locational,,placename,locational,,combined
Colorado streams,2,2,0.00%,25.00%,0:05:18,4.5,placename|locational,locational,,placename,locational,,combined
colorado streams,1,1,0.00%,100.00%,0:00:05,0,placename|locational,locational,,placename,locational,,combined
Colorado Streams,1,1,0.00%,0.00%,0:02:17,1,placename|locational,locational,,placename,locational,,combined
colorado trail,1,1,0.00%,0.00%,0:00:06,1,placename,placename,,placename,,,single
Colorado trail,1,1,0.00%,0.00%,0:00:34,1,placename,placename,,placename,,,single
colorado triassic,1,1,0.00%,100.00%,0:00:12,0,placename|topical,topical,,placename,topical,,combined
colorado triassic age,1,1,0.00%,100.00%,0:00:05,0,placename|topical,topical,,placename,topical,,combined
colorado usa,1,1,0.00%,0.00%,0:00:04,2,placename,placename,,placename,,,single
colorado water,1,6,0.00%,0.00%,0:05:31,3,placename|locational,locational,,placename,locational,,combined
Coloradocounties,1,1,0.00%,100.00%,0:00:05,0,placename|locational,locational,,placename,locational,,combined
ColoradoWater basin,1,2,0.00%,100.00%,0:00:06,0,placename|locational,locational,,placename,locational,,combined
coloraod reservoirs,1,1,0.00%,100.00%,0:00:06,0,placename|locational,locational,,placename,locational,,combined
Coloraod roads,1,1,0.00%,100.00%,0:00:08,0,placename|locational,locational,,placename,locational,,combined
colroado rocky mountains,1,2,0.00%,100.00%,0:01:24,6,placename,placename,,placename,,,single
Continental divide,1,2,0.00%,0.00%,0:03:04,9,placename,placename,,placename,,,single
CU,1,1,0.00%,100.00%,0:06:18,7,placename,placename,,placename,,,single
