,Search Term,Total Unique Searches,Results Pageviews / Search,% Search Exits,% Search Refinements,Time after Search,Avg. Search Depth,Search Category (Phil),Search Category (Erik),Notes,Search Category,Second Category,Third Category,Unnamed: 13,lowTerms,tkTerms,stems
187,arapahoe,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,arapahoe,['arapahoe'],['arapaho']
188,arapahoe county ditch,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,arapahoe county ditch,"['arapahoe', 'county', 'ditch']","['arapaho', 'counti', 'ditch']"
189,Arkansas river,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,arkansas river,"['arkansas', 'river']","['arkansa', 'river']"
190,asia,1,1.0,0.00%,0.00%,0:00:02,1.0,placename,placename,,placename,,,single,asia,['asia'],['asia']
191,aspen,2,1.0,0.00%,100.00%,0:00:11,0.5,placename,placename,,placename,,,single,aspen,['aspen'],['aspen']
192,Aurora,1,5.0,0.00%,20.00%,0:00:07,0.0,placename,placename,,placename,,,single,aurora,['aurora'],['aurora']
193,Aurora CO,1,2.0,0.00%,50.00%,0:01:32,13.0,placename,topical,,placename,,,single,aurora co,"['aurora', 'co']","['aurora', 'co']"
194,bierstadt lake,1,1.0,100.00%,0.00%,0:00:00,0.0,placename,placename,,placename,,,single,bierstadt lake,"['bierstadt', 'lake']","['bierstadt', 'lake']"
195,bolder,1,2.0,0.00%,100.00%,0:00:11,0.0,placename,placename,,placename,,,single,bolder,['bolder'],['bolder']
196,boluder,1,1.0,0.00%,100.00%,0:00:04,0.0,placename,placename,,placename,,,single,boluder,['boluder'],['bolud']
197,boulder,16,5.44,25.00%,9.20%,0:03:50,2.12,placename,placename,,placename,,,single,boulder,['boulder'],['boulder']
198,Boulder,2,6.0,0.00%,0.00%,0:01:39,4.5,placename,placename,,placename,,,single,boulder,['boulder'],['boulder']
